Gene,Wtrep1,Wtrep2,Wtrep3,Kocna1rep1,Kocna1rep2,Kocrz1rep1,Kocrz1rep2,Kocrz1rep3,pmc1005,pmc1006,pmc1007,Wtpmc1008,Wtpmc1009,Wtpmc1010
CNAG_02420,46,67,66,119,41,37,60,73,0,1,1,0,1,0
CNAG_02421,766,1780,1398,2005,1461,692,2410,1550,9,21,17,33,25,39
CNAG_02422,5834,2772,4004,2132,1708,4247,4599,3657,7,27,29,25,20,23
CNAG_02423,2998,4513,5300,4814,3273,2832,5814,4706,27,64,61,42,33,56
CNAG_02424,1844,1466,2161,856,878,1990,3082,2352,7,23,25,16,21,16
CNAG_02425,247,459,424,627,362,147,603,425,5,5,3,3,2,6
CNAG_02426,1219,4195,2725,4639,3351,1131,5557,3222,9,45,40,37,26,37
CNAG_02427,12246,4601,5904,4214,2352,10266,6366,6317,8,18,17,32,20,29
CNAG_02428,2598,3857,3922,3460,2829,2180,5021,3677,15,36,29,15,15,22
CNAG_02429,75,76,64,97,40,36,88,71,0,0,0,0,0,0
CNAG_02430,287,510,582,933,601,372,1025,956,6,15,14,6,6,9
CNAG_02431,3477,1522,1740,1978,1500,3808,2668,2164,8,16,19,8,8,11
CNAG_02432,310,751,627,666,593,385,905,623,3,14,6,17,15,11
CNAG_02433,2288,1151,1218,1270,982,1752,1513,1330,4,17,16,10,12,14
CNAG_02434,2813,2957,4297,4292,2477,1924,4359,3246,17,42,49,16,8,16
CNAG_02435,10339,3977,5732,3011,2669,4320,4244,4135,22,50,56,77,47,74
CNAG_02436,325,364,285,438,365,282,460,369,0,2,0,0,1,1
CNAG_02437,5,47,60,49,58,15,74,52,1,1,0,0,0,0
CNAG_02438,984,819,1007,900,870,684,1331,1141,0,0,0,1,1,0
CNAG_02439,4769,1183,1932,1905,1310,3367,1775,1747,3,9,9,1,3,2
CNAG_02440,11713,17442,23691,21931,17489,9117,22954,18229,14,48,51,15,21,23
CNAG_02441,109,130,182,181,99,115,123,233,0,0,2,0,0,0
CNAG_02442,893,946,989,1168,897,829,1308,1099,5,11,24,5,16,19
CNAG_02443,5357,2934,3359,3688,2832,6831,4601,3474,7,22,31,36,22,44
CNAG_02444,9338,3795,4323,2845,2015,4472,5611,3539,4,15,24,8,5,9
CNAG_02445,6688,5413,6152,6082,4513,5384,8294,5443,25,62,70,29,18,22
CNAG_02446,458,690,685,976,543,483,965,705,2,13,10,10,4,6
CNAG_02447,2321,1357,1388,1730,1149,2418,1689,1519,7,15,31,18,7,20
CNAG_02448,13,19,21,35,24,25,33,30,0,0,0,0,0,0
CNAG_02449,2285,3195,3428,3068,2235,1913,3679,2910,4,29,35,15,7,22
CNAG_02452,434,565,551,700,463,349,642,593,2,1,4,2,4,1
CNAG_02453,1046,3170,2049,2836,2415,1009,4360,2690,10,39,43,19,9,19
CNAG_02454,454,1001,657,1141,816,383,1099,798,23,35,34,51,34,51
CNAG_02455,1654,4610,4545,6375,5670,559,4422,2715,34,79,95,60,57,79
CNAG_02457,2184,5736,4664,4771,4095,1689,6333,3873,33,61,78,79,58,91
CNAG_02458,3322,5153,4731,3334,2786,1129,3612,2407,26,65,70,37,19,34
CNAG_02459,652,574,736,779,525,622,961,520,6,7,8,5,7,4
CNAG_02460,16,17,4,10,8,21,20,20,1,1,0,0,2,0
CNAG_02463,94,196,149,257,178,91,216,184,2,2,4,1,1,2
CNAG_02464,312,572,449,872,613,315,870,621,3,13,24,18,13,15
CNAG_02465,1461,718,797,1026,716,1419,1039,894,3,10,10,4,3,4
CNAG_02466,264,948,792,1556,934,252,1189,769,3,9,18,7,7,9
CNAG_02467,2700,4266,3799,3800,3254,2221,5668,4060,8,15,22,14,5,7
CNAG_02468,3329,2928,3065,3181,2509,2445,4327,3027,12,13,13,6,12,16
CNAG_02469,2632,1214,1200,1680,1178,2426,1922,1509,4,18,16,20,14,21
CNAG_02470,2461,1303,1773,1493,1247,1928,2267,1754,7,13,23,13,18,14
CNAG_02471,5216,3413,3730,4039,3331,3344,5127,3776,2,10,11,1,1,6
CNAG_02472,1514,3533,3054,4374,3610,1425,5058,3450,8,27,48,24,16,26
CNAG_02473,7149,4032,7327,8797,5298,5866,10112,8863,23,102,108,108,69,95
CNAG_02475,445,828,688,869,632,333,1439,818,33,87,95,76,60,61
CNAG_02476,165,643,245,753,713,137,993,573,2,3,5,2,1,2
CNAG_02477,612,1100,875,986,717,559,1304,990,1,15,19,8,6,12
CNAG_02478,229,534,454,754,525,225,800,520,10,20,33,14,10,14
CNAG_02479,70,186,127,229,165,99,245,202,1,7,3,6,9,7
CNAG_02480,1971,1294,1403,1452,1342,2028,1740,1641,7,18,16,17,12,18
CNAG_02481,1715,1904,2015,2351,1710,1780,2478,1938,8,27,24,24,21,19
CNAG_02482,1568,1774,1741,2508,1684,1295,2695,2050,2,26,15,25,13,24
CNAG_02483,1,0,0,5,2,1,2,3,0,0,0,0,0,0
CNAG_02484,118,59,67,96,50,110,94,87,0,2,1,1,0,4
CNAG_02485,5909,14090,10033,17825,13358,6051,21746,10780,79,270,319,382,288,397
CNAG_02486,1831,3658,3543,5488,3930,1879,5211,3621,52,114,148,132,92,106
CNAG_02487,1409,2044,1875,3191,1467,919,2445,1488,25,46,63,32,21,31
CNAG_02488,174,323,226,550,348,140,310,207,1,0,5,3,1,1
CNAG_02489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAG_02490,594,1580,1012,1964,1518,606,2241,1406,6,19,18,11,6,15
CNAG_02491,239,285,244,282,226,294,477,434,1,4,7,10,3,4
CNAG_02492,1935,1996,1850,1756,1317,1408,2184,1696,12,54,63,32,27,33
CNAG_02493,729,1555,1385,1523,938,419,1572,1313,26,68,63,33,25,37
CNAG_02494,903,1919,1649,2475,1904,740,2481,1682,12,27,45,16,16,18
CNAG_02495,1574,1944,1874,1696,1501,1545,3100,2005,0,13,16,8,12,15
CNAG_02496,1949,1016,1613,1292,946,1401,1696,1396,7,8,7,2,2,8
CNAG_02497,134,229,259,327,189,173,325,361,1,9,5,11,1,5
CNAG_02498,1094,2124,1706,2597,1949,1106,3047,2090,9,29,29,33,14,27
CNAG_02499,41,17,40,14,11,37,31,27,0,0,0,0,0,0
CNAG_02500,19595,48412,47703,47735,35015,13083,58477,33846,111,270,334,109,92,116
CNAG_02501,4030,4597,5468,4867,3840,2457,7627,4725,12,25,24,9,8,6
CNAG_02502,276,449,490,705,468,449,627,588,26,63,67,104,83,122
CNAG_02503,8108,6136,8118,8188,5492,6488,10471,7676,34,80,90,53,36,53
CNAG_02504,715,1494,1436,1328,923,715,2108,1610,8,14,16,9,6,11
CNAG_02505,2780,2165,2277,4867,2554,3075,3235,2676,12,36,54,25,31,41
CNAG_02506,540,1219,1051,2451,1380,662,1787,1169,10,25,24,23,14,29
CNAG_02507,984,2176,1871,2590,1645,1064,2898,1823,17,48,63,86,64,97
CNAG_02508,193,296,187,162,133,109,296,174,0,0,5,2,4,5
CNAG_02509,283,375,420,675,487,303,780,614,3,12,7,1,2,7
CNAG_02510,4383,5519,6512,2139,1514,573,1653,1165,30,79,72,63,48,63
CNAG_02511,1219,2298,2169,2803,2203,1085,3296,2476,22,42,50,20,20,11
CNAG_02512,2062,4451,5536,5976,4915,2222,7360,6091,25,69,87,63,46,76
CNAG_02514,1468,795,1203,950,613,1154,1101,997,4,13,15,9,4,3
CNAG_02515,1371,1560,1772,2575,1754,1150,2272,1701,20,50,62,17,22,31
CNAG_02516,225,374,353,359,277,211,452,293,5,25,26,12,10,14
CNAG_02517,121,174,190,338,242,72,224,196,0,4,0,1,0,0
CNAG_02519,14529,6445,8858,12411,7482,10509,9142,7371,27,65,78,38,21,24
CNAG_02520,277,834,677,1754,967,340,1135,746,6,28,20,33,13,32
CNAG_02521,0,1,0,0,0,8,0,0,0,0,0,0,0,0
CNAG_02522,2187,2213,2111,2500,2029,2219,2898,2190,22,46,68,58,45,58
CNAG_02523,1126,3139,2432,1515,1373,633,1629,1275,11,36,32,10,9,8
CNAG_02524,1421,1801,1967,634,589,649,1366,1013,3,9,6,9,8,6
CNAG_02525,449,441,332,404,238,301,453,437,0,5,2,2,1,6
CNAG_02526,1264,1040,896,56,66,128,242,172,9,22,25,14,10,6
CNAG_02527,2187,3337,2792,3158,2839,2891,7443,4695,19,48,42,126,100,125
CNAG_02528,2905,3516,3858,3423,2494,2226,4887,3389,15,30,23,6,12,11
CNAG_02529,2778,1668,1911,1828,1434,1925,2420,1951,9,11,15,19,10,11
CNAG_02530,3222,3867,4066,3319,2666,2497,4996,3822,19,43,44,35,21,40
CNAG_02531,244,626,390,1183,757,209,818,578,2,2,2,5,2,3
CNAG_02532,35,22,20,23,31,43,24,33,0,0,0,0,1,0
CNAG_02533,616,695,800,893,643,463,932,755,6,15,20,14,10,18
CNAG_02534,590,715,670,802,550,516,1152,674,6,16,12,9,4,8
CNAG_02535,303,285,267,354,208,226,358,264,2,3,3,1,3,4
CNAG_02536,494,779,726,1118,662,421,1153,701,6,12,14,11,4,8
CNAG_02537,5,17,10,18,14,3,11,15,0,0,3,0,0,0
CNAG_02538,8,8,2,11,3,5,7,9,0,0,0,0,0,0
